Value,Count,Numeric
"bromley, greater london, united kingdom","59,213",59213
"sao luis, maranhao, brazil","59,173",59173
"acworth, georgia, united states","59,148",59148
"ormond beach, florida, united states","59,135",59135
"beloit, wisconsin, united states","59,076",59076
"bentonville, arkansas, united states","59,043",59043
"riverdale, georgia, united states","58,759",58759
"maryville, tennessee, united states","58,732",58732
"la rochelle, poitou-charentes, france","58,731",58731
"seminole, florida, united states","58,684",58684
"stillwater, oklahoma, united states","58,675",58675
"novo hamburgo, rio grande do sul, brazil","58,662",58662
"mission, texas, united states","58,652",58652
"markham, ontario, canada","58,625",58625
"elmhurst, new york, united states","58,619",58619
"brunswick, georgia, united states","58,614",58614
"citrus heights, california, united states","58,484",58484
"new castle, delaware, united states","58,409",58409
"cordova, tennessee, united states","58,270",58270
"atlantic city, new jersey, united states","58,147",58147
"volta redonda, rio de janeiro, brazil","58,122",58122
"oviedo, florida, united states","58,105",58105
"feira de santana, bahia, brazil","58,008",58008
"harlingen, texas, united states","57,959",57959
"westminster, colorado, united states","57,923",57923
"lakewood, california, united states","57,922",57922
"pisa, tuscany, italy","57,870",57870
"dalton, georgia, united states","57,867",57867
"trondheim, sor-trondelag, norway","57,860",57860
"montes claros, minas gerais, brazil","57,802",57802
"owings mills, maryland, united states","57,801",57801
"ellicott city, maryland, united states","57,681",57681
"plant city, florida, united states","57,668",57668
"st albans, hertfordshire, united kingdom","57,627",57627
"hoboken, new jersey, united states","57,553",57553
"passo fundo, rio grande do sul, brazil","57,544",57544
"kitchener, ontario, canada","57,512",57512
"parkersburg, west virginia, united states","57,465",57465
"titusville, florida, united states","57,342",57342
"euless, texas, united states","57,340",57340
"taylor, michigan, united states","57,287",57287
"são caetano do sul, sao paulo, brazil","57,254",57254
"blackburn, blackburn with darwen, united kingdom","57,118",57118
"palm beach gardens, florida, united states","56,978",56978
"manteca, california, united states","56,807",56807
"east orange, new jersey, united states","56,715",56715
"saskatoon, saskatchewan, canada","56,712",56712
"waterford, michigan, united states","56,707",56707
"new city, new york, united states","56,677",56677
"uberaba, minas gerais, brazil","56,669",56669
"northumberland, northumberland, united kingdom","56,659",56659
"jaraguá do sul, santa catarina, brazil","56,588",56588
"cupertino, california, united states","56,586",56586
"venice, florida, united states","56,574",56574
"henrico, virginia, united states","56,545",56545
"elyria, ohio, united states","56,443",56443
"torreon, coahuila de zaragoza, mexico","56,434",56434
"allahabad, uttar pradesh, india","56,417",56417
"eden prairie, minnesota, united states","56,416",56416
"plainfield, illinois, united states","56,393",56393
"turlock, california, united states","56,379",56379
"gadsden, alabama, united states","56,312",56312
"āgra, uttar pradesh, india","56,260",56260
"udine, friuli venezia giulia, italy","56,247",56247
"richmond, texas, united states","56,207",56207
"greer, south carolina, united states","56,130",56130
"cagliari, sardegna, italy","56,097",56097
"buena park, california, united states","56,084",56084
"polokwane, limpopo, south africa","56,060",56060
"trento, trentino-alto adige, italy","55,998",55998
"rānchī, jharkhand, india","55,946",55946
"middletown, new york, united states","55,936",55936
"monroe, north carolina, united states","55,932",55932
"pittsfield, massachusetts, united states","55,913",55913
"irvington, new jersey, united states","55,845",55845
"edinburg, texas, united states","55,770",55770
"apple valley, california, united states","55,767",55767
"san pedro, california, united states","55,732",55732
"culiacán, sinaloa, mexico","55,713",55713
"butler, pennsylvania, united states","55,602",55602
"lilburn, georgia, united states","55,581",55581
"la puente, california, united states","55,547",55547
"bristol, connecticut, united states","55,315",55315
"rio rancho, new mexico, united states","55,300",55300
"medina, ohio, united states","55,294",55294
"enid, oklahoma, united states","55,250",55250
"varanasi, uttar pradesh, india","55,180",55180
"chester, pennsylvania, united states","55,149",55149
"deland, florida, united states","55,148",55148
"wolverhampton, wolverhampton, united kingdom","55,098",55098
"petaluma, california, united states","55,076",55076
"cartersville, georgia, united states","55,055",55055
"carrollton, georgia, united states","55,051",55051
"bossier city, louisiana, united states","55,045",55045
"la jolla, california, united states","54,909",54909
"jundiaí, sao paulo, brazil","54,899",54899
"mount vernon, new york, united states","54,838",54838
"antalya, antalya, turkey","54,828",54828
"bessemer, alabama, united states","54,803",54803
"midland, michigan, united states","54,742",54742
"pontiac, michigan, united states","54,742",54742
"jalandhar, punjab, india","54,738",54738
"walsall, walsall, united kingdom","54,733",54733
"monterey, california, united states","54,624",54624
"holland, michigan, united states","54,605",54605
"mentor, ohio, united states","54,577",54577
"oaxaca, oaxaca, mexico","54,546",54546
"simpsonville, south carolina, united states","54,494",54494
"jaboatao dos guararapes, pernambuco, brazil","54,425",54425
"springfield, oregon, united states","54,392",54392
"washington, pennsylvania, united states","54,389",54389
"madison, alabama, united states","54,377",54377
"layton, utah, united states","54,325",54325
"pittsburg, california, united states","54,280",54280
"palm beach, florida, united states","54,210",54210
"piscataway, new jersey, united states","54,200",54200
"royal oak, michigan, united states","54,175",54175
"pavia, lombardia, italy","54,172",54172
"golden, colorado, united states","54,160",54160
"le mans, pays de la loire, france","54,145",54145
"niagara falls, new york, united states","54,121",54121
"lombard, illinois, united states","54,101",54101
"newark, ohio, united states","54,065",54065
"caserta, campania, italy","53,999",53999
"anniston, alabama, united states","53,989",53989
"lexington, north carolina, united states","53,847",53847
"league city, texas, united states","53,800",53800
"bolingbrook, illinois, united states","53,754",53754
"kolhapur, maharashtra, india","53,728",53728
"georgetown, texas, united states","53,665",53665
"west des moines, iowa, united states","53,665",53665
"milford, connecticut, united states","53,628",53628
"meriden, connecticut, united states","53,619",53619
"la mesa, california, united states","53,578",53578
"paducah, kentucky, united states","53,565",53565
"valencia, california, united states","53,523",53523
"brest, bretagne, france","53,509",53509
"laguna niguel, california, united states","53,490",53490
"folsom, california, united states","53,358",53358
"la mirada, california, united states","53,352",53352
"saltillo, coahuila de zaragoza, mexico","53,316",53316
"lecce, apulia, italy","53,311",53311
"worcester, worcestershire, united kingdom","53,253",53253
"west hartford, connecticut, united states","53,172",53172
"marion, indiana, united states","53,157",53157
"foz do iguaçu, parana, brazil","53,139",53139
"wheeling, west virginia, united states","53,130",53130
"oakland, michigan, united states","53,100",53100
"jundiai, sao paulo, brazil","53,024",53024
"vellore, tamil nadu, india","52,968",52968
"findlay, ohio, united states","52,861",52861
"downers grove, illinois, united states","52,805",52805
"perris, california, united states","52,796",52796
"macapá, amapa, brazil","52,789",52789
"plymouth, massachusetts, united states","52,767",52767
"alexandria, louisiana, united states","52,755",52755
"south san francisco, california, united states","52,747",52747
"mannheim, baden-wurttemberg, germany","52,710",52710
"lebanon, pennsylvania, united states","52,683",52683
"mexicali, baja california, mexico","52,652",52652
"lodi, california, united states","52,610",52610
"brandon, mississippi, united states","52,504",52504
"new castle, pennsylvania, united states","52,428",52428
"new rochelle, new york, united states","52,420",52420
"logan, utah, united states","52,402",52402
"dehradun, uttarakhand, india","52,390",52390
"bhubaneswar, orissa, india","52,368",52368
"council bluffs, iowa, united states","52,307",52307
"novi, michigan, united states","52,267",52267
"manchester, connecticut, united states","52,260",52260
"sanford, north carolina, united states","52,255",52255
"nagar, uttar pradesh, india","52,230",52230
"north charleston, south carolina, united states","52,176",52176
"ancona, marche, italy","52,165",52165
"lake forest, california, united states","52,151",52151
"lehigh acres, florida, united states","51,974",51974
"longwood, florida, united states","51,929",51929
"levittown, pennsylvania, united states","51,846",51846
"morristown, new jersey, united states","51,843",51843
"fishers, indiana, united states","51,835",51835
"bay city, michigan, united states","51,804",51804
"luzerne, pennsylvania, united states","51,778",51778
"wilson, north carolina, united states","51,694",51694
"raigarh, maharashtra, india","51,690",51690
"pflugerville, texas, united states","51,680",51680
"middlesex, new jersey, united states","51,589",51589
"winchester, virginia, united states","51,578",51578
"cape girardeau, missouri, united states","51,536",51536
"ridgeland, mississippi, united states","51,525",51525
"valley stream, new york, united states","51,451",51451
"bellevue, nebraska, united states","51,445",51445
"statesville, north carolina, united states","51,375",51375
"madera, california, united states","51,362",51362
"greenbelt, maryland, united states","51,339",51339
"miramar, florida, united states","51,331",51331
"americana, sao paulo, brazil","51,314",51314
"greensburg, pennsylvania, united states","51,248",51248
"statesboro, georgia, united states","51,222",51222
"troy, new york, united states","51,187",51187
"carson city, nevada, united states","51,175",51175
"griffin, georgia, united states","51,071",51071
"lawrence, massachusetts, united states","51,000",51000
"redford, michigan, united states","50,987",50987
"lakewood, washington, united states","50,961",50961
"mount pleasant, south carolina, united states","50,957",50957
"hicksville, new york, united states","50,886",50886
"forest park, georgia, united states","50,873",50873
"ipatinga, minas gerais, brazil","50,847",50847
"florence, kentucky, united states","50,818",50818
"rancho cordova, california, united states","50,818",50818
"farmington, michigan, united states","50,793",50793
"warangal, telangana, india","50,709",50709
"weatherford, texas, united states","50,601",50601
"bielefeld, nordrhein-westfalen, germany","50,509",50509
"shawnee, kansas, united states","50,481",50481
"glendora, california, united states","50,461",50461
"castle rock, colorado, united states","50,458",50458
"witbank, mpumalanga, south africa","50,382",50382
"lancaster, ohio, united states","50,305",50305
"newburgh, new york, united states","50,266",50266
"yorba linda, california, united states","50,229",50229
"leesburg, florida, united states","50,145",50145
"cookeville, tennessee, united states","50,135",50135
"anapolis, goias, brazil","50,129",50129
"loganville, georgia, united states","50,063",50063
"union city, california, united states","50,056",50056
"noblesville, indiana, united states","50,035",50035
"brooksville, florida, united states","49,933",49933
"saint george, utah, united states","49,890",49890
"lutz, florida, united states","49,878",49878
"matthews, north carolina, united states","49,840",49840
"west haven, connecticut, united states","49,825",49825
"monroe, michigan, united states","49,743",49743
"mankato, minnesota, united states","49,724",49724
"wheaton, illinois, united states","49,696",49696
"new bern, north carolina, united states","49,667",49667
"grove city, ohio, united states","49,479",49479
"mount laurel, new jersey, united states","49,476",49476
"glen allen, virginia, united states","49,376",49376
"loveland, colorado, united states","49,349",49349
"merritt island, florida, united states","49,336",49336
"lufkin, texas, united states","49,335",49335
"rochester, michigan, united states","49,317",49317
"vineland, new jersey, united states","49,311",49311
"regina, saskatchewan, canada","49,280",49280
"wuhan, hubei, china","49,272",49272
"dresden, saxony, germany","49,181",49181
"carlisle, pennsylvania, united states","49,114",49114
"keller, texas, united states","49,093",49093
"tirunelveli, tamil nadu, india","49,053",49053
"palm desert, california, united states","49,030",49030
"aurangabad, maharashtra, india","49,011",49011
"powder springs, georgia, united states","48,966",48966
"tomball, texas, united states","48,866",48866
"blue springs, missouri, united states","48,803",48803
"lincoln, lincolnshire, united kingdom","48,802",48802
"oakville, ontario, canada","48,789",48789
"middletown, connecticut, united states","48,758",48758
"indaiatuba, sao paulo, brazil","48,694",48694
"campina grande, paraíba, brazil","48,642",48642
"bay shore, new york, united states","48,625",48625
"chino hills, california, united states","48,620",48620
"plainfield, new jersey, united states","48,608",48608
"mason, ohio, united states","48,598",48598
"saint cloud, florida, united states","48,579",48579
"frankfurt, hessen, germany","48,569",48569
"east hartford, connecticut, united states","48,533",48533
"hilo, hawaii, united states","48,439",48439
"jamestown, new york, united states","48,409",48409
"skokie, illinois, united states","48,352",48352
"goose creek, south carolina, united states","48,347",48347
"denpasar, bali, indonesia","48,337",48337
"enfield, greater london, united kingdom","48,324",48324
"blacksburg, virginia, united states","48,278",48278
"cedar park, texas, united states","48,248",48248
"meridian, mississippi, united states","48,218",48218
"ilford, redbridge, united kingdom","48,214",48214
"centreville, virginia, united states","48,211",48211
"canoga park, california, united states","48,207",48207
"brentwood, tennessee, united states","48,168",48168
"mansfield, texas, united states","48,125",48125
"stratford, connecticut, united states","48,029",48029
"parma, emilia-romagna, italy","47,995",47995
"reynoldsburg, ohio, united states","47,988",47988
"el monte, california, united states","47,914",47914
"hendersonville, tennessee, united states","47,908",47908
"plantation, florida, united states","47,896",47896
"bellflower, california, united states","47,893",47893
"prescott, arizona, united states","47,874",47874
"lake mary, florida, united states","47,858",47858
"concord, new hampshire, united states","47,844",47844
"marysville, washington, united states","47,844",47844
"windsor, ontario, canada","47,655",47655
"almería, andalusia, spain","47,630",47630
"massillon, ohio, united states","47,629",47629
"dundee, dundee city, united kingdom","47,587",47587
"grants pass, oregon, united states","47,568",47568
"malden, massachusetts, united states","47,547",47547
"woodside, new york, united states","47,544",47544
"jerez de la frontera, andalusia, spain","47,540",47540
"frankfort, kentucky, united states","47,486",47486
"burleson, texas, united states","47,398",47398
"hamden, connecticut, united states","47,393",47393
"beaufort, south carolina, united states","47,369",47369
"sao leopoldo, rio grande do sul, brazil","47,289",47289
"helena, montana, united states","47,271",47271
"central islip, new york, united states","47,189",47189
"bogotá d.c., bogota d.c., colombia","47,166",47166
"araraquara, sao paulo, brazil","47,154",47154
"waterloo, ontario, canada","47,126",47126
"snohomish, washington, united states","47,083",47083
"denison, texas, united states","47,040",47040
"richland, washington, united states","47,024",47024
"cypress, california, united states","47,019",47019
"lakewood, ohio, united states","47,001",47001
"auburn, maine, united states","46,954",46954
"cotia, sao paulo, brazil","46,931",46931
"zephyrhills, florida, united states","46,905",46905
"slidell, louisiana, united states","46,880",46880
"burnsville, minnesota, united states","46,827",46827
"kingston upon hull, kingston upon hull, united kingdom","46,818",46818
"pinellas park, florida, united states","46,818",46818
"zanesville, ohio, united states","46,810",46810
"valrico, florida, united states","46,732",46732
"cook, illinois, united states","46,693",46693
"tulare, california, united states","46,539",46539
"danville, virginia, united states","46,458",46458
"novato, california, united states","46,453",46453
"presidente prudente, sao paulo, brazil","46,428",46428
"kollam, kerala, india","46,366",46366
"porterville, california, united states","46,356",46356
"arcadia, california, united states","46,340",46340
"yukon, oklahoma, united states","46,328",46328
"gravataí, rio grande do sul, brazil","46,320",46320
"wayne, new jersey, united states","46,298",46298
"nelspruit, mpumalanga, south africa","46,297",46297
"culver city, california, united states","46,246",46246
"besançon, bourgogne-franche-comte, france","46,236",46236
"northbrook, illinois, united states","46,224",46224
"conway, south carolina, united states","46,218",46218
"flower mound, texas, united states","46,191",46191
"sunrise, florida, united states","46,100",46100
"kaneohe, hawaii, united states","45,997",45997
"delaware, pennsylvania, united states","45,990",45990
"loire, maine-et-loire, france","45,938",45938
"suzano, sao paulo, brazil","45,930",45930
"hilliard, ohio, united states","45,912",45912
"chillicothe, ohio, united states","45,904",45904
"sierra vista, arizona, united states","45,895",45895
"clayton, north carolina, united states","45,875",45875
"medford, massachusetts, united states","45,851",45851
"taunton, massachusetts, united states","45,849",45849
"esbon, kansas, united states","45,808",45808
"forest hills, new york, united states","45,773",45773
"hanford, california, united states","45,751",45751
"grapevine, texas, united states","45,643",45643
"north port, florida, united states","45,601",45601
"pasadena, maryland, united states","45,575",45575
"north bergen, new jersey, united states","45,544",45544
"burlington, ontario, canada","45,543",45543
"spring valley, california, united states","45,473",45473
"lake city, florida, united states","45,468",45468
"crystal lake, illinois, united states","45,431",45431
"oak lawn, illinois, united states","45,414",45414
"orangeburg, south carolina, united states","45,404",45404
"haverhill, massachusetts, united states","45,376",45376
"aliso viejo, california, united states","45,339",45339
"campos dos goytacazes, rio de janeiro, brazil","45,319",45319
"hutchinson, kansas, united states","45,319",45319
"albany, oregon, united states","45,283",45283
"hot springs national park, arkansas, united states","45,275",45275
"saint clair shores, michigan, united states","45,245",45245
"freiburg, baden-wuerttemberg, germany","45,239",45239
"parkville, maryland, united states","45,192",45192
"richmond, kentucky, united states","45,175",45175
"montgomery, pennsylvania, united states","45,134",45134
"burke, virginia, united states","45,119",45119
"erode, tamil nadu, india","45,111",45111
"santander, cantabria, spain","45,045",45045
"cerritos, california, united states","45,040",45040
"crown point, indiana, united states","45,023",45023
"roseville, michigan, united states","45,016",45016
"woburn, massachusetts, united states","44,981",44981
"bordeaux, aquitaine, france","44,917",44917
"torino, piedmont, italy","44,868",44868
"twin falls, idaho, united states","44,863",44863
"hendersonville, north carolina, united states","44,860",44860
"muskogee, oklahoma, united states","44,791",44791
"meerut, uttar pradesh, india","44,744",44744
"doylestown, pennsylvania, united states","44,702",44702
"massapequa, new york, united states","44,596",44596
"mexico, distrito federal, mexico","44,593",44593
"longview, washington, united states","44,567",44567
"la porte, indiana, united states","44,555",44555
"easley, south carolina, united states","44,536",44536
"huddersfield, kirklees, united kingdom","44,535",44535
"cosenza, calabria, italy","44,518",44518
"lebanon, tennessee, united states","44,507",44507
"avondale, arizona, united states","44,494",44494
"salina, kansas, united states","44,489",44489
"port orchard, washington, united states","44,393",44393
"wallingford, connecticut, united states","44,387",44387
"sao jose dos pinhais, parana, brazil","44,343",44343
"jodhpur, rajasthan, india","44,294",44294
"salem, virginia, united states","44,231",44231
"centennial, colorado, united states","44,229",44229
"llandudno, conwy, united kingdom","44,204",44204
"mclean, virginia, united states","44,204",44204
"liverpool, new york, united states","44,145",44145
"bedford, texas, united states","44,136",44136
"semarang, central java, indonesia","44,122",44122
"merrillville, indiana, united states","44,110",44110
"taunton, somerset, united kingdom","44,034",44034
"fairfield, ohio, united states","44,012",44012
"greenwich, connecticut, united states","43,985",43985
"latina, lazio, italy","43,982",43982
"nîmes, occitanie, france","43,949",43949
"rockwall, texas, united states","43,934",43934
"rio branco, acre, brazil","43,910",43910
"campbell, california, united states","43,907",43907
"shrewsbury, shropshire, united kingdom","43,848",43848
"cuneo, piedmont, italy","43,840",43840
"menlo park, california, united states","43,723",43723
"new albany, indiana, united states","43,720",43720
"carmichael, california, united states","43,707",43707
"sherman, texas, united states","43,664",43664
"desoto, texas, united states","43,653",43653
"chicopee, massachusetts, united states","43,631",43631
"fond du lac, wisconsin, united states","43,592",43592
"dourados, mato grosso do sul, brazil","43,544",43544
"lancaster, lancashire, united kingdom","43,535",43535
"carbondale, illinois, united states","43,515",43515
"parsippany, new jersey, united states","43,508",43508
"cairns, queensland, australia","43,501",43501
"hempstead, new york, united states","43,427",43427
"westminster, maryland, united states","43,427",43427
"north richland hills, texas, united states","43,399",43399
"benton, arkansas, united states","43,385",43385
"davie, florida, united states","43,319",43319
"oregon city, oregon, united states","43,277",43277
"palhoça, santa catarina, brazil","43,277",43277
"midlothian, virginia, united states","43,259",43259
"el centro, california, united states","43,200",43200
"udaipur, rajasthan, india","43,177",43177
"la habra, california, united states","43,176",43176
"howell, michigan, united states","43,157",43157
"benton harbor, michigan, united states","43,145",43145
"port richey, florida, united states","43,142",43142
"elmhurst, illinois, united states","43,131",43131
"amritsar, punjab, india","43,123",43123
"tinley park, illinois, united states","43,029",43029
"oak park, illinois, united states","43,008",43008
"lakewood, new jersey, united states","42,976",42976
"la mancha blanca, canarias, spain","42,918",42918
"lake elsinore, california, united states","42,900",42900
"middleburg, florida, united states","42,897",42897
"taboao da serra, sao paulo, brazil","42,862",42862
"rocklin, california, united states","42,855",42855
"fountain valley, california, united states","42,790",42790
"lansdale, pennsylvania, united states","42,750",42750
"kanpur, uttar pradesh, india","42,681",42681
"nacogdoches, texas, united states","42,635",42635
"lenexa, kansas, united states","42,608",42608
"apex, north carolina, united states","42,562",42562
"lake oswego, oregon, united states","42,509",42509
"chambersburg, pennsylvania, united states","42,439",42439
"columbia, tennessee, united states","42,439",42439
"gwalior, madhya pradesh, india","42,424",42424
"wake forest, north carolina, united states","42,421",42421
"covington, kentucky, united states","42,385",42385
"anoka, minnesota, united states","42,324",42324
"mchenry, illinois, united states","42,309",42309
"hinesville, georgia, united states","42,305",42305
"fort washington, maryland, united states","42,304",42304
"woodland, california, united states","42,274",42274
"tupelo, mississippi, united states","42,270",42270
"qingdao, shandong, china","42,009",42009
"richmond, indiana, united states","42,004",42004
"sandusky, ohio, united states","42,001",42001
"pottstown, pennsylvania, united states","41,953",41953
"portage, michigan, united states","41,850",41850
"petaling jaya, selangor, malaysia","41,840",41840
"jefferson, colorado, united states","41,838",41838
"dortmund, nordrhein-westfalen, germany","41,754",41754
"bisho, eastern cape, south africa","41,743",41743
"waipahu, hawaii, united states","41,700",41700
"vijayawada, andhra pradesh, india","41,681",41681
"west columbia, south carolina, united states","41,661",41661
"richmond, british columbia, canada","41,618",41618
"nellore, andhra pradesh, india","41,610",41610
"queens village, new york, united states","41,544",41544
"encino, california, united states","41,540",41540
"corona, new york, united states","41,522",41522
"bloomfield, new jersey, united states","41,478",41478
"painesville, ohio, united states","41,470",41470
"jabalpur, madhya pradesh, india","41,435",41435
"messina, sicily, italy","41,418",41418
"kent, ohio, united states","41,417",41417
"harrisonburg, virginia, united states","41,374",41374
"rowlett, texas, united states","41,359",41359
"marion, ohio, united states","41,351",41351
"passaic, new jersey, united states","41,349",41349
"brussels, brussels capital, belgium","41,263",41263
"brookline, massachusetts, united states","41,214",41214
"franklin, ohio, united states","41,199",41199
"lanham, maryland, united states","41,167",41167
"lockport, new york, united states","41,161",41161
"everett, massachusetts, united states","41,144",41144
"danville, california, united states","41,135",41135
"watertown, new york, united states","41,101",41101
"huntersville, north carolina, united states","41,061",41061
"east saint louis, illinois, united states","41,002",41002
"vicksburg, mississippi, united states","40,992",40992
"klamath falls, oregon, united states","40,988",40988
"granbury, texas, united states","40,957",40957
"shelby, north carolina, united states","40,950",40950
"union city, new jersey, united states","40,933",40933
"santee, california, united states","40,897",40897
"campello sul clitunno, umbria, italy","40,846",40846
"austell, georgia, united states","40,820",40820
"rondonopolis, mato grosso, brazil","40,765",40765
"encinitas, california, united states","40,698",40698
"morganton, north carolina, united states","40,611",40611
"dearborn heights, michigan, united states","40,610",40610
"truro, cornwall, united kingdom","40,589",40589
"fairport, new york, united states","40,585",40585
"brea, california, united states","40,530",40530
"lompoc, california, united states","40,510",40510
"new hyde park, new york, united states","40,500",40500
"fort mill, south carolina, united states","40,452",40452
"guelph, ontario, canada","40,447",40447
"crewe, cheshire east, united kingdom","40,442",40442
"saarbrucken, saarland, germany","40,430",40430
"tepic, nayarit, mexico","40,412",40412
"caddo, louisiana, united states","40,410",40410
"marlton, new jersey, united states","40,403",40403
"saint charles, illinois, united states","40,355",40355
"dekalb, illinois, united states","40,327",40327
"castro valley, california, united states","40,300",40300
"tonawanda, new york, united states","40,260",40260
"chester, virginia, united states","40,227",40227
"tucker, georgia, united states","40,209",40209
"kirkcaldy, fife, united kingdom","40,097",40097
"badajoz, extremadura, spain","40,093",40093
"chittoor, andhra pradesh, india","40,073",40073
"moline, illinois, united states","39,989",39989
"bartlesville, oklahoma, united states","39,967",39967
"gilroy, california, united states","39,966",39966
"goodyear, arizona, united states","39,932",39932
"jeffersonville, indiana, united states","39,924",39924
"kingwood, texas, united states","39,910",39910
"webster, new york, united states","39,843",39843
"smyrna, tennessee, united states","39,771",39771
"euclid, ohio, united states","39,769",39769
"kannapolis, north carolina, united states","39,742",39742
"tampere, pirkanmaa, finland","39,740",39740
"strongsville, ohio, united states","39,729",39729
"kingman, arizona, united states","39,714",39714
"utica, michigan, united states","39,704",39704
"southall, greater london, united kingdom","39,676",39676
"goshen, indiana, united states","39,672",39672
"eureka, california, united states","39,659",39659
"crestview, florida, united states","39,651",39651
"hudson, florida, united states","39,610",39610
"issaquah, washington, united states","39,605",39605
"quincy, illinois, united states","39,567",39567
"malang, east java, indonesia","39,529",39529
"baldwin park, california, united states","39,433",39433
"petrópolis, rio de janeiro, brazil","39,429",39429
"jacarei, sao paulo, brazil","39,417",39417
"belgaum, karnataka, india","39,391",39391
"wyoming, michigan, united states","39,356",39356
"cuyahoga falls, ohio, united states","39,333",39333
"brentwood, new york, united states","39,330",39330
"lindenhurst, new york, united states","39,311",39311
"santa clarita, california, united states","39,286",39286
"sicklerville, new jersey, united states","39,279",39279
"cumberland, maryland, united states","39,262",39262
"danville, illinois, united states","39,238",39238
"praia grande, sao paulo, brazil","39,233",39233
"magnolia, texas, united states","39,199",39199
"endicott, new york, united states","39,138",39138
"glens falls, new york, united states","39,121",39121
"glenview, illinois, united states","39,068",39068
"salisbury, wiltshire, united kingdom","38,969",38969
"shelton, connecticut, united states","38,960",38960
"townsville, queensland, australia","38,955",38955
"elk grove village, illinois, united states","38,948",38948
"clearfield, utah, united states","38,934",38934
"los mochis, sinaloa, mexico","38,917",38917
"adana, adana, turkey","38,915",38915
"north fort myers, florida, united states","38,885",38885
"south gate, california, united states","38,853",38853
"pico rivera, california, united states","38,811",38811
"cicero, illinois, united states","38,773",38773
"russellville, arkansas, united states","38,763",38763
"san gabriel, california, united states","38,757",38757
"edmonds, washington, united states","38,749",38749
"limoges, nouvelle-aquitaine, france","38,727",38727
"greenwood, south carolina, united states","38,715",38715
"westbury, new york, united states","38,691",38691
"poway, california, united states","38,662",38662
"far rockaway, new york, united states","38,609",38609
"roseburg, oregon, united states","38,585",38585
"annandale, virginia, united states","38,563",38563
"minot, north dakota, united states","38,563",38563
"woonsocket, rhode island, united states","38,553",38553
"great neck, new york, united states","38,500",38500
"bonita springs, florida, united states","38,490",38490
"ravenna, emilia-romagna, italy","38,467",38467
"hauppauge, new york, united states","38,371",38371
"davenport, florida, united states","38,369",38369
"guatemala city, guatemala, guatemala","38,337",38337
"kozhikode, kerala, india","38,330",38330
"delaware, ohio, united states","38,319",38319
"huntsville, texas, united states","38,307",38307
"richmond hill, ontario, canada","38,303",38303
"edwardsville, illinois, united states","38,299",38299
"key west, florida, united states","38,224",38224
"revere, massachusetts, united states","38,199",38199
"grand blanc, michigan, united states","38,156",38156
"mechanicsville, virginia, united states","38,124",38124
"ankeny, iowa, united states","38,118",38118
"kailua, hawaii, united states","38,094",38094
"monterey park, california, united states","38,088",38088
"indio, california, united states","38,074",38074
"ozone park, new york, united states","38,051",38051
"sevierville, tennessee, united states","38,029",38029
"columbus, mississippi, united states","38,001",38001
"amiens, hauts-de-france, france","37,996",37996
"attleboro, massachusetts, united states","37,991",37991
"clackamas, oregon, united states","37,921",37921
"hyderabad, sindh, pakistan","37,892",37892
"puerto rico, texas, united states","37,885",37885
"addison, illinois, united states","37,876",37876
"cedar hill, texas, united states","37,853",37853
"kernersville, north carolina, united states","37,849",37849
"paisley, renfrewshire, united kingdom","37,797",37797
"dudley, dudley, united kingdom","37,783",37783
"media, pennsylvania, united states","37,763",37763
"bridgewater, new jersey, united states","37,759",37759
"asheboro, north carolina, united states","37,748",37748
"garner, north carolina, united states","37,697",37697
"forsyth, north carolina, united states","37,673",37673
"watsonville, california, united states","37,666",37666
"cedar falls, iowa, united states","37,659",37659
"south jordan, utah, united states","37,644",37644
"sebring, florida, united states","37,624",37624
"lake havasu city, arizona, united states","37,570",37570
"winter springs, florida, united states","37,570",37570
"solapur, maharashtra, india","37,569",37569
"goleta, california, united states","37,557",37557
"casselberry, florida, united states","37,526",37526
"new iberia, louisiana, united states","37,521",37521
"east brunswick, new jersey, united states","37,518",37518
"laguna hills, california, united states","37,507",37507
"wesley chapel, florida, united states","37,453",37453
"dorchester, massachusetts, united states","37,415",37415
"gorakhpur, uttar pradesh, india","37,410",37410
"indiana, pennsylvania, united states","37,403",37403
"alappuzha, kerala, india","37,392",37392
"montebello, california, united states","37,388",37388
"morristown, tennessee, united states","37,386",37386
"brookfield, wisconsin, united states","37,371",37371
"granite city, illinois, united states","37,337",37337
"lucca, tuscany, italy","37,335",37335
"orange, texas, united states","37,322",37322
"port huron, michigan, united states","37,303",37303
"azusa, california, united states","37,286",37286
"collierville, tennessee, united states","37,276",37276
"methuen, massachusetts, united states","37,274",37274
"governador valadares, minas gerais, brazil","37,230",37230
"berwyn, illinois, united states","37,213",37213
"cullman, alabama, united states","37,178",37178
"west monroe, louisiana, united states","37,159",37159
"brighton, michigan, united states","37,137",37137
"towson, maryland, united states","37,136",37136
"winter garden, florida, united states","37,131",37131
"itajai, santa catarina, brazil","37,117",37117
"cariacica, espirito santo, brazil","37,036",37036
"dubai, dubai, united arab emirates","37,024",37024
"bucks, pennsylvania, united states","37,020",37020
"hopkinsville, kentucky, united states","37,009",37009
"braintree, massachusetts, united states","37,008",37008
"hanover, pennsylvania, united states","37,002",37002
"dundalk, maryland, united states","36,973",36973
"wenatchee, washington, united states","36,923",36923
"divinopolis, minas gerais, brazil","36,914",36914
"martinez, california, united states","36,888",36888
"caldwell, idaho, united states","36,882",36882
